Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Datetime,,,,,
2025-07-09 13:30:00+00:00,6250.81982421875,6251.5400390625,6243.330078125,6243.330078125,0
2025-07-09 13:31:00+00:00,6253.9599609375,6253.9599609375,6250.759765625,6250.759765625,16558981
2025-07-09 13:32:00+00:00,6255.2001953125,6256.14990234375,6252.64990234375,6253.77001953125,13884752
2025-07-09 13:33:00+00:00,6255.9599609375,6256.4501953125,6254.3701171875,6255.27978515625,12676601
2025-07-09 13:34:00+00:00,6257.52001953125,6257.7998046875,6255.43994140625,6256.2099609375,11953490
2025-07-09 13:35:00+00:00,6256.68994140625,6258.919921875,6256.68994140625,6257.52978515625,12084252
2025-07-09 13:36:00+00:00,6257.0400390625,6257.5498046875,6255.66015625,6256.41015625,10526055
2025-07-09 13:37:00+00:00,6258.5,6258.9501953125,6257.39013671875,6257.39013671875,9306510
2025-07-09 13:38:00+00:00,6260.22021484375,6260.22021484375,6258.5498046875,6258.5498046875,9046282
2025-07-09 13:39:00+00:00,6260.81005859375,6261.4599609375,6260.66015625,6260.81982421875,9110609
2025-07-09 13:40:00+00:00,6261.68994140625,6261.7998046875,6259.4501953125,6260.89990234375,9247098
2025-07-09 13:41:00+00:00,6261.259765625,6262.9599609375,6259.8701171875,6262.169921875,10471909
2025-07-09 13:42:00+00:00,6261.990234375,6262.10986328125,6260.72021484375,6261.39990234375,5443225
2025-07-09 13:43:00+00:00,6262.27001953125,6263.06005859375,6262.2001953125,6262.68017578125,11906558
2025-07-09 13:44:00+00:00,6263.2998046875,6263.2998046875,6261.60986328125,6262.27001953125,7850239
2025-07-09 13:45:00+00:00,6264.27978515625,6265.08984375,6263.240234375,6263.240234375,10056274
2025-07-09 13:46:00+00:00,6266.43017578125,6266.85986328125,6264.2998046875,6264.2998046875,9271412
2025-07-09 13:47:00+00:00,6265.5400390625,6266.68017578125,6264.85986328125,6266.35009765625,8021839
2025-07-09 13:48:00+00:00,6265.080078125,6265.97021484375,6264.580078125,6265.490234375,8265871
2025-07-09 13:49:00+00:00,6267.27001953125,6267.27001953125,6265.0498046875,6265.0498046875,8469152
2025-07-09 13:50:00+00:00,6268.8798828125,6269.16015625,6267.02001953125,6267.10986328125,8774593
2025-07-09 13:51:00+00:00,6268.02001953125,6268.759765625,6267.6298828125,6268.759765625,7815444
2025-07-09 13:52:00+00:00,6267.56982421875,6268.83984375,6267.52001953125,6267.97021484375,7302887
2025-07-09 13:53:00+00:00,6266.56005859375,6268.18017578125,6266.5400390625,6267.3701171875,7591548
2025-07-09 13:54:00+00:00,6267.27978515625,6267.5,6266.1298828125,6266.52001953125,7625092
2025-07-09 13:55:00+00:00,6265.08984375,6267.240234375,6264.9599609375,6267.240234375,6848051
2025-07-09 13:56:00+00:00,6263.81005859375,6265.18017578125,6263.81005859375,6265.18017578125,6753742
2025-07-09 13:57:00+00:00,6265.330078125,6265.60009765625,6263.8701171875,6263.8701171875,7236375
2025-07-09 13:58:00+00:00,6264.0,6265.52001953125,6263.58984375,6265.52001953125,7267991
2025-07-09 13:59:00+00:00,6265.4599609375,6265.5,6263.97021484375,6263.97021484375,8611832
2025-07-09 14:00:00+00:00,6267.1298828125,6267.60009765625,6263.68994140625,6264.1201171875,11882894
2025-07-09 14:01:00+00:00,6266.22998046875,6267.64013671875,6265.68994140625,6267.1201171875,8002691
2025-07-09 14:02:00+00:00,6264.85009765625,6266.72998046875,6264.85009765625,6266.3701171875,8509899
2025-07-09 14:03:00+00:00,6264.72021484375,6265.419921875,6264.240234375,6264.919921875,7273196
2025-07-09 14:04:00+00:00,6262.68994140625,6265.0400390625,6262.56005859375,6264.77978515625,7303437
2025-07-09 14:05:00+00:00,6263.77001953125,6263.7900390625,6262.10986328125,6262.68017578125,9685759
2025-07-09 14:06:00+00:00,6263.990234375,6265.16015625,6263.93994140625,6263.9501953125,8037649
2025-07-09 14:07:00+00:00,6262.7001953125,6264.47021484375,6262.7001953125,6263.919921875,7443309
2025-07-09 14:08:00+00:00,6263.43994140625,6263.490234375,6262.33984375,6262.35009765625,9352575
2025-07-09 14:09:00+00:00,6263.97021484375,6264.14990234375,6263.080078125,6263.4501953125,7092057
2025-07-09 14:10:00+00:00,6264.2099609375,6264.56005859375,6262.330078125,6263.93994140625,8132030
2025-07-09 14:11:00+00:00,6264.2001953125,6264.47998046875,6263.3798828125,6264.18994140625,7240211
2025-07-09 14:12:00+00:00,6265.35986328125,6265.35986328125,6263.8798828125,6264.2001953125,7147652
2025-07-09 14:13:00+00:00,6263.7001953125,6265.830078125,6263.7001953125,6265.35009765625,6863203
2025-07-09 14:14:00+00:00,6264.41015625,6264.7900390625,6263.259765625,6263.759765625,7052803
2025-07-09 14:15:00+00:00,6264.759765625,6265.10009765625,6263.89013671875,6264.39013671875,7388057
2025-07-09 14:16:00+00:00,6263.5,6264.85986328125,6263.08984375,6264.75,7656793
2025-07-09 14:17:00+00:00,6263.919921875,6264.14013671875,6262.8798828125,6263.52001953125,7798748
2025-07-09 14:18:00+00:00,6262.97021484375,6263.990234375,6262.97021484375,6263.990234375,7333130
2025-07-09 14:19:00+00:00,6262.419921875,6263.3798828125,6262.240234375,6262.91015625,6313436
2025-07-09 14:20:00+00:00,6263.169921875,6263.22021484375,6261.7099609375,6262.490234375,6458225
2025-07-09 14:21:00+00:00,6262.85009765625,6263.10986328125,6262.02001953125,6263.10986328125,6694336
